timestamp_ms,alpha,beta,gamma,a,b,c
1765810698571,306.40000000000003,0.7000000000000001,1.5,-64.97950569910228,-88.3447392813007,-78.61133068497554
1765810698584,306.40000000000003,0.8,1.6,-63.430480373521924,-88.21119212114276,-80.15834861186629
1765810698601,306.5,1.2000000000000002,1.9000000000000001,-57.71583109334489,-87.75289695278542,-85.76426960245553
1765810698617,306.5,1.4000000000000001,2,-54.997154704176154,-87.55885194287825,-88.47840698937486
1765810698634,306.6,1.7000000000000002,1.8,-46.62347733473837,-87.52430835729679,-96.74981497233568
1765810698651,306.7,1.8,1.4000000000000001,-37.863084344623815,-87.71979055397266,-105.41492160388628
1765810698667,306.7,1.9000000000000001,1.3,-34.36826433172791,-87.69796167425815,-108.91017795194351
1765810698684,306.7,1.8,1.5,-39.79308026458932,-87.65708307933416,-103.4833545067959
1765810698701,306.8,1.6,1.7000000000000002,-46.724074273631125,-87.6656374125507,-96.45218596462226
1765810698717,306.8,1.5,1.6,-46.83736200067719,-87.80696213497716,-96.34169149099279
1765810698734,306.8,1.2000000000000002,1.5,-51.332911746553414,-88.0791483689432,-91.85137881879491
1765810698750,306.8,1.1,1.5,-53.739683524028614,-88.1399667905472,-89.44591624493957
1765810698767,306.8,1.1,1.6,-55.48471352953419,-88.058432218984,-87.69992610315809
1765810698784,306.8,1.2000000000000002,1.7000000000000002,-54.77449853267467,-87.91923634269595,-88.40769715214086
1765810698801,306.8,1.4000000000000001,1.6,-48.804732374285884,-87.87409067210164,-94.37571769517453
1765810698817,306.8,1.5,1.5,-44.990181401479305,-87.8788008318104,-98.19018140147931
1765810698834,306.8,1.7000000000000002,1.4000000000000001,-39.46141004013213,-87.79785904514574,-103.71781798467302
1765810698851,306.7,1.7000000000000002,1.5,-41.41207585834725,-87.73298882384246,-101.86566829012997
1765810698867,306.7,1.7000000000000002,1.6,-43.252185964622235,-87.6656374125507,-100.02407427363114
1765810698884,306.7,1.6,1.6,-44.98882844098846,-87.73740536465279,-98.28882844098848
1765810698901,306.6,1.4000000000000001,1.5,-46.96598046175352,-87.94828067852622,-96.41569162258453
1765810698917,306.6,1.3,1.5,-49.07751058573351,-88.01515394387194,-94.30547075206958
1765810698934,306.5,1.2000000000000002,1.6,-53.12250588304975,-88.00009358826263,-90.36073725479436
1765810698951,306.5,1.1,1.7000000000000002,-57.08771134156201,-87.97524201490229,-86.39596813145673
1765810698967,306.5,1.2000000000000002,1.6,-53.12250588304975,-88.00009358826263,-90.36073725479436
1765810699001,306.40000000000003,1.4000000000000001,1.5,-46.96598046175352,-87.94828067852622,-96.6156916225845
1765810699017,306.3,1.5,1.5,-44.990181401479305,-87.8788008318104,-98.69018140147928
1765810699034,306.3,1.7000000000000002,1.5,-41.41207585834725,-87.73298882384246,-102.26566829012997
1765810699067,306.2,1.6,1.5,-43.141691490992784,-87.80696213497716,-100.63736200067721
1765810699084,306.2,1.5,1.5,-44.990181401479305,-87.8788008318104,-98.79018140147932
1765810699117,306.2,1.3,1.6,-50.897683751764916,-87.93855374478264,-92.88416286571102
1765810699151,306.3,1.2000000000000002,1.6,-53.12250588304975,-88.00009358826263,-90.56073725479433
1765810699167,306.40000000000003,1.3,1.6,-50.897683751764916,-87.93855374478264,-92.684162865711
1765810699184,306.6,1.4000000000000001,1.7000000000000002,-50.517817984673,-87.79785904514574,-92.86141004013213
1765810699201,307.3,1.6,1.9000000000000001,-49.8865783980908,-87.51624045078736,-92.78688844211113
1765810699218,308.3,1.8,1.9000000000000001,-46.53350125043194,-87.38297646315661,-95.13664842962243
1765810699234,308.90000000000003,1.8,1.8,-44.985860507549944,-87.45462498981867,-96.08586050754995
1765810699251,310,1.8,1.6,-41.620479966093036,-87.59185596474009,-98.35438359227811
1765810699267,311.20000000000005,1.8,1.6,-41.620479966093036,-87.59185596474009,-97.15438359227808
1765810699284,311.8,1.7000000000000002,1.6,-43.252185964622235,-87.6656374125507,-94.92407427363115
1765810699301,312.90000000000003,1.6,1.7000000000000002,-46.724074273631125,-87.6656374125507,-90.35218596462222
1765810699317,313.90000000000003,1.5,1.7000000000000002,-48.56566829012997,-87.73298882384246,-87.51207585834725
1765810699334,314.40000000000003,1.5,1.7000000000000002,-48.56566829012997,-87.73298882384246,-87.01207585834723
1765810699351,315.40000000000003,1.5,1.7000000000000002,-48.56566829012997,-87.73298882384246,-86.01207585834723
1765810699367,316.40000000000003,1.5,1.7000000000000002,-48.56566829012997,-87.73298882384246,-85.0120758583472
1765810699384,316.90000000000003,1.6,1.7000000000000002,-46.724074273631125,-87.6656374125507,-86.35218596462222
1765810699401,317.8,1.7000000000000002,1.7000000000000002,-44.98738814593633,-87.59601334541887,-87.18738814593631
1765810699417,318.70000000000005,1.8,1.6,-41.620479966093036,-87.59185596474009,-89.65438359227804
1765810699434,319.1,1.9000000000000001,1.6,-40.08688844211114,-87.51624045078736,-90.78657839809078
1765810699451,319.90000000000003,1.9000000000000001,1.7000000000000002,-41.80555358472129,-87.45069803427059,-88.26625469687488
1765810699467,320.70000000000005,1.8,1.7000000000000002,-43.34981497233568,-87.52430835729679,-85.92347733473834
1765810699484,321.1,1.7000000000000002,1.7000000000000002,-44.98738814593633,-87.59601334541887,-83.88738814593631
1765810699501,321.90000000000003,1.7000000000000002,1.7000000000000002,-44.98738814593633,-87.59601334541887,-83.08738814593632
1765810699517,322.6,1.7000000000000002,1.8,-46.62347733473837,-87.52430835729679,-80.74981497233566
1765810699534,323.1,1.7000000000000002,1.8,-46.62347733473837,-87.52430835729679,-80.24981497233567
1765810699551,324.20000000000005,2,1.7000000000000002,-40.34890191333774,-87.37534268078603,-85.42142229983976
1765810699567,325.5,2.2,1.7000000000000002,-37.67654603884224,-87.21996771814302,-86.7908098996279
1765810699584,326.3,2.2,1.8,-39.270983887403034,-87.15774606297302,-84.39445150513947
1765810699601,327.90000000000003,2.1,1.9000000000000001,-42.119602613448315,-87.16832501450851,-79.94557097908977
1765810699617,329.40000000000003,1.9000000000000001,1.9000000000000001,-44.98424551652457,-87.31324051360126,-75.58424551652456
1765810699634,330.20000000000005,1.8,1.8,-44.985860507549944,-87.45462498981867,-74.78586050754988
1765810699651,331.70000000000005,1.7000000000000002,1.8,-46.62347733473837,-87.52430835729679,-71.64981497233566
1765810699667,333.20000000000005,1.7000000000000002,1.9000000000000001,-48.16625469687491,-87.45069803427059,-68.60555358472126
1765810699684,333.90000000000003,1.7000000000000002,1.9000000000000001,-48.16625469687491,-87.45069803427059,-67.90555358472126
1765810699701,335.3,1.9000000000000001,1.9000000000000001,-44.98424551652457,-87.31324051360126,-69.68424551652458
1765810699717,336.70000000000005,2,1.8,-41.970951941352276,-87.30951977162735,-71.29762635819056
1765810699734,337.40000000000003,2,1.7000000000000002,-40.34890191333774,-87.37534268078603,-72.22142229983977
1765810699751,338.8,2.1,1.8,-40.58395713015246,-87.23439899067887,-70.58304974101819
1765810699767,340.40000000000003,2.2,1.9000000000000001,-40.79595618676409,-87.0934168577027,-68.76755860721222
1765810699784,341.20000000000005,2.1,1.9000000000000001,-42.119602613448315,-87.16832501450851,-66.64557097908977
1765810699801,342.90000000000003,2.1,1.9000000000000001,-42.119602613448315,-87.1683250145085,-64.94557097908978
1765810699817,343.70000000000005,2.1,1.9000000000000001,-42.119602613448315,-87.16832501450851,-64.14557097908978
1765810699834,345.6,2.1,1.9000000000000001,-42.119602613448315,-87.1683250145085,-62.2455709790898
1765810699851,347.5,2.1,1.9000000000000001,-42.119602613448315,-87.1683250145085,-60.345570979089814
1765810699867,348.5,2.2,1.8,-39.270983887403034,-87.15774606297302,-62.19445150513946
1765810699884,350.40000000000003,2.3000000000000003,1.8,-38.02752714297731,-87.0796816340883,-61.536336718285675
1765810699900,352.40000000000003,2.5,1.7000000000000002,-34.19488100764053,-86.97706010498915,-63.36802214015736
1765810699918,353.40000000000003,2.5,1.7000000000000002,-34.19488100764053,-86.97706010498915,-62.36802214015736
1765810699934,355.40000000000003,2.5,1.7000000000000002,-34.19488100764053,-86.97706010498915,-60.36802214015738
