timestamp_ms,alpha,beta,gamma,a,b,c
1765810772783,297.6,47.5,3,-2.745634020006874,-42.428089290730696,-148.33409114992241
1765810772865,297.5,47.6,3,-2.7360433129291177,-42.328340575865035,-148.44055549574992
1765810772898,297.5,47.6,3.1,-2.8270117531985566,-42.32348779842687,-148.3054566223777
1765810772931,297.40000000000003,47.7,3.1,-2.817134560968054,-42.22375522943962,-148.41210073478845
1765810772948,297.40000000000003,47.7,3.2,-2.9077634684023854,-42.21876138858876,-148.2772354006851
1765810772981,297.3,47.7,3.3000000000000003,-2.9983689742964037,-42.21360959443177,-148.2423917332639
1765810773014,297.3,47.800000000000004,3.3000000000000003,-2.9878917466318398,-42.11391160619556,-148.2494245948965
1765810773031,297.3,47.7,3.3000000000000003,-2.9983689742964037,-42.21360959443177,-148.2423917332639
1765810773048,297.3,47.7,3.2,-2.9077634684023854,-42.21876138858876,-148.3772354006851
1765810773064,297.40000000000003,47.7,3.2,-2.9077634684023854,-42.21876138858876,-148.2772354006851
1765810773081,297.40000000000003,47.7,3.1,-2.817134560968054,-42.22375522943962,-148.41210073478845
1765810773114,297.5,47.6,3.1,-2.8270117531985566,-42.32348779842687,-148.3054566223777
1765810773131,297.5,47.6,3,-2.7360433129291177,-42.328340575865035,-148.44055549574992
1765810773281,297.5,47.6,3.1,-2.8270117531985566,-42.32348779842687,-148.3054566223777
1765810773298,297.5,47.7,3.1,-2.817134560968054,-42.223755229439625,-148.31210073478846
1765810773331,297.40000000000003,47.7,3.2,-2.9077634684023854,-42.21876138858876,-148.2772354006851
1765810773431,297.40000000000003,47.7,3.1,-2.817134560968054,-42.22375522943962,-148.41210073478845
1765810773498,297.5,47.6,3,-2.7360433129291177,-42.328340575865035,-148.44055549574992
1765810773615,297.5,47.7,3,-2.726482974037687,-42.228591064326594,-148.44698706781998
1765810773648,297.5,47.7,3.1,-2.817134560968054,-42.223755229439625,-148.31210073478846
1765810773831,297.5,47.7,3,-2.726482974037687,-42.228591064326594,-148.44698706781998
1765810774015,297.5,47.7,3.1,-2.817134560968054,-42.223755229439625,-148.31210073478846
1765810774098,297.5,47.7,3,-2.726482974037687,-42.228591064326594,-148.44698706781998
1765810774131,297.6,47.7,2.9000000000000004,-2.635809430531428,-42.23326884223757,-148.48189373114263
1765810774148,297.7,47.7,2.8000000000000003,-2.545114654217906,-42.23778851380863,-148.51682005526382
1765810774181,297.8,47.7,2.6,-2.3636643023211668,-42.24635334873024,-148.68672900382035
1765810774198,297.90000000000003,47.7,2.5,-2.272910178270065,-42.250398421615024,-148.7217102852427
1765810774231,298,47.6,2.4000000000000004,-2.1897935083972557,-42.35412478307365,-148.7515556855572
1765810774281,297.8,47.5,2.6,-2.380273176367271,-42.44597627919737,-148.67554111244564
1765810774298,297.7,47.5,2.7,-2.4716442682566204,-42.441743445061746,-148.64014998482912
1765810774315,297.5,47.5,2.9000000000000004,-2.6543254264575156,-42.43279990313986,-148.56942432132033
1765810774331,297.3,47.6,3.2,-2.91795733531858,-42.31847646418235,-148.37037892862972
1765810774348,297.2,47.7,3.4000000000000004,-3.088950357508985,-42.20829990126947,-148.20757039936825
1765810774364,297.1,47.800000000000004,3.5,-3.168399231585173,-42.103171995187616,-148.18022656368657
1765810774381,297,48,3.6,-3.235877388059128,-41.898281444635295,-148.16087644726733
1765810774398,297.1,48.1,3.7,-3.3138132425500073,-41.79293462368631,-147.93451052838284
1765810774414,297.2,48.300000000000004,3.7,-3.2906660714347367,-41.59368289365145,-147.84990673418952
1765810774431,297.3,48.400000000000006,3.8000000000000003,-3.367442338733289,-41.48825830055188,-147.62427023044722
1765810774448,297.5,48.400000000000006,3.8000000000000003,-3.367442338733289,-41.48825830055188,-147.42427023044723
1765810774464,297.7,48.5,3.8000000000000003,-3.355649834558293,-41.38864983467089,-147.23207469137142
1765810774481,298,48.400000000000006,3.9000000000000004,-3.455712407190023,-41.48230748928366,-146.7910178726119
1765810774498,298.1,48.400000000000006,3.8000000000000003,-3.367442338733289,-41.48825830055188,-146.8242702304472
1765810774514,298.5,48.400000000000006,3.8000000000000003,-3.367442338733289,-41.48825830055188,-146.42427023044726
1765810774531,298.8,48.400000000000006,3.8000000000000003,-3.367442338733289,-41.48825830055188,-146.1242702304472
1765810774548,299.3,48.300000000000004,3.7,-3.2906660714347367,-41.59368289365146,-145.74990673418947
1765810774564,299.90000000000003,48.2,3.5,-3.1243149184938694,-41.704519907767946,-145.40966988458544
1765810774581,300.3,48.1,3.4000000000000004,-3.045982618436164,-41.809576067438904,-145.13632658432638
1765810774598,300.90000000000003,48,3.2,-2.8773738801020055,-41.91961078733895,-144.79759732973008
1765810774614,301.6,47.800000000000004,2.9000000000000004,-2.6265952939357318,-42.13350219964653,-144.48808107914974
1765810774631,302,47.800000000000004,2.9000000000000004,-2.6265952939357318,-42.13350219964653,-144.08808107914976
1765810774648,302.6,47.7,2.7,-2.454399369686775,-42.24215003132635,-143.75176536986316
1765810774664,303.40000000000003,47.7,2.7,-2.454399369686775,-42.24215003132633,-142.95176536986312
1765810774681,303.7,47.800000000000004,2.6,-2.3553992450911143,-42.146540988620536,-142.7922804353684
1765810774698,304.40000000000003,47.800000000000004,2.6,-2.3553992450911143,-42.146540988620536,-142.09228043536834
1765810774714,305.2,47.900000000000006,2.7,-2.4372632323363908,-42.04255405071158,-141.16326330524885
1765810774731,305.6,48,2.7,-2.4287354993629187,-41.942755108449305,-140.76896866204856
1765810774748,306.40000000000003,48.1,2.9000000000000004,-2.599126014445522,-41.8341978820815,-139.70645592293795
1765810774764,307.3,48.300000000000004,3,-2.669747504546136,-41.63007755829205,-138.68489899560723
1765810774781,307.8,48.400000000000006,3,-2.6603941924368057,-41.53032261582489,-138.19110648960407
1765810774798,308.8,48.5,3.1,-2.7392215162874507,-41.425864733324325,-137.06405871857046
1765810774814,309.90000000000003,48.6,3.1,-2.7296174384791057,-41.326124759957665,-135.97040699271892
1765810774831,310.5,48.6,3.1,-2.7296174384791057,-41.326124759957665,-135.37040699271896
1765810774848,311.8,48.6,3.1,-2.7296174384791057,-41.326124759957665,-134.07040699271897
1765810774864,313.3,48.6,3.1,-2.7296174384791057,-41.326124759957665,-132.57040699271897
1765810774881,314,48.5,3,-2.651069681598915,-41.43056691783811,-131.9972827158725
1765810774898,315.5,48.5,2.9000000000000004,-2.562897220220889,-41.435115394990035,-130.63052569819
1765810774914,317.1,48.400000000000006,2.8000000000000003,-2.4834106089317176,-41.53929725400381,-129.15801960850274
1765810774931,317.90000000000003,48.300000000000004,2.7,-2.4033115190818926,-41.643354524022364,-128.4859123308831
1765810774948,319.5,48.300000000000004,2.5,-2.2255919984861836,-41.6514313056892,-127.15334262394421
1765810774964,320.3,48.300000000000004,2.4000000000000004,-2.1367056582484425,-41.65523721125034,-126.48708227612222
1765810774981,321.90000000000003,48.300000000000004,2.2,-1.9588832898363582,-41.66238385655157,-125.15460739298778
1765810774998,323.40000000000003,48.300000000000004,1.9000000000000001,-1.692035951611071,-41.67194037154634,-124.0559999846354
1765810775014,324.1,48.300000000000004,1.8,-1.6030592824726133,-41.67481548993548,-123.48982292489346
1765810775031,325.6,48.300000000000004,1.6,-1.4250687954936803,-41.680099967110024,-122.25750306169584
1765810775048,327.20000000000005,48.300000000000004,1.4000000000000001,-1.2470334341502414,-41.684763253018694,-120.92522458027126
1765810775064,327.90000000000003,48.300000000000004,1.3,-1.1580006736367856,-41.686861888295255,-120.359099246151
1765810775081,329.40000000000003,48.300000000000004,1.1,-0.9799084923382774,-41.690593035532345,-119.12687316459773
1765810775098,330.90000000000003,48.300000000000004,0.9,-0.8017854337721891,-41.69370255968338,-117.89467555938525
1765810775114,331.6,48.300000000000004,0.8,-0.7127140777633564,-41.695024172091465,-117.32858581959236
1765810775131,332.90000000000003,48.400000000000006,0.6000000000000001,-0.532679843450812,-41.59721084928387,-116.29766749826524
1765810775148,334.3,48.400000000000006,0.4,-0.355129185747929,-41.59876035628426,-115.16510310373637
1765810775164,334.90000000000003,48.400000000000006,0.4,-0.355129185747929,-41.59876035628427,-114.56510310373638
1765810775181,336.20000000000005,48.400000000000006,0.30000000000000004,-0.2663493280891796,-41.59930269624085,-113.39882508021225
1765810775198,337.6,48.400000000000006,0.2,-0.1775673800751836,-41.59969008589462,-112.13254898316757
1765810775214,338.3,48.300000000000004,0.2,-0.17819256360397212,-41.69968899473977,-111.43213350198589
1765810775231,339.6,48.300000000000004,0.2,-0.17819256360397212,-41.69968899473977,-110.13213350198588
1765810775247,340.90000000000003,48.300000000000004,0.30000000000000004,-0.26728708970371456,-41.69930024116776,-108.69820187227631
1765810775264,341.5,48.300000000000004,0.30000000000000004,-0.26728708970371456,-41.69930024116776,-108.0982018722763
1765810775281,342.8,48.300000000000004,0.4,-0.35637950903483634,-41.698755991772856,-106.664272185649
1765810775298,344.20000000000005,48.300000000000004,0.4,-0.35637950903483634,-41.698755991772856,-105.26427218564892
1765810775314,344.90000000000003,48.400000000000006,0.4,-0.355129185747929,-41.59876035628427,-104.56510310373638
